sido,year,month,pop_end,pop_change
충청남도,2024,2024년02월,2131309.0,800.0
충청남도,2024,2024년03월,2132745.0,1436.0
충청남도,2024,2024년04월,2133828.0,1083.0
충청남도,2024,2024년05월,2134618.0,790.0
충청남도,2024,2024년06월,2134817.0,199.0
충청남도,2024,2024년07월,2135171.0,354.0
충청남도,2024,2024년08월,2135281.0,110.0
충청남도,2024,2024년09월,2135373.0,92.0
충청남도,2024,2024년10월,2136010.0,637.0
충청남도,2024,2024년11월,2136632.0,622.0
충청남도,2024,2024년12월,2136574.0,-58.0
전북특별자치도,2023,2023년01월,,
전북특별자치도,2023,2023년02월,,
전북특별자치도,2023,2023년03월,,
전북특별자치도,2023,2023년04월,,
전북특별자치도,2023,2023년05월,,
전북특별자치도,2023,2023년06월,,
전북특별자치도,2023,2023년07월,,
전북특별자치도,2023,2023년08월,,
전북특별자치도,2023,2023년09월,,
전북특별자치도,2023,2023년10월,,
전북특별자치도,2023,2023년11월,,
전북특별자치도,2023,2023년12월,,
전북특별자치도,2024,2024년01월,1752921.0,-1836.0
전북특별자치도,2024,2024년02월,1751318.0,-1603.0
전북특별자치도,2024,2024년03월,1749376.0,-1942.0
전북특별자치도,2024,2024년04월,1748047.0,-1329.0
전북특별자치도,2024,2024년05월,1746912.0,-1135.0
전북특별자치도,2024,2024년06월,1745885.0,-1027.0
전북특별자치도,2024,2024년07월,1744661.0,-1224.0
전북특별자치도,2024,2024년08월,1743183.0,-1478.0
전북특별자치도,2024,2024년09월,1741640.0,-1543.0
전북특별자치도,2024,2024년10월,1740753.0,-887.0
전북특별자치도,2024,2024년11월,1739751.0,-1002.0
전북특별자치도,2024,2024년12월,1738690.0,-1061.0
전라남도,2023,2023년01월,1816707.0,-990.0
전라남도,2023,2023년02월,1814858.0,-1849.0
전라남도,2023,2023년03월,1813872.0,-986.0
전라남도,2023,2023년04월,1813439.0,-433.0
전라남도,2023,2023년05월,1812475.0,-964.0
전라남도,2023,2023년06월,1811554.0,-921.0
전라남도,2023,2023년07월,1810071.0,-1483.0
전라남도,2023,2023년08월,1808339.0,-1732.0
전라남도,2023,2023년09월,1807295.0,-1044.0
전라남도,2023,2023년10월,1805823.0,-1472.0
전라남도,2023,2023년11월,1804875.0,-948.0
전라남도,2023,2023년12월,1804217.0,-658.0
전라남도,2024,2024년01월,1802672.0,-1545.0
전라남도,2024,2024년02월,1800352.0,-2320.0
전라남도,2024,2024년03월,1798435.0,-1917.0
전라남도,2024,2024년04월,1797199.0,-1236.0
전라남도,2024,2024년05월,1795717.0,-1482.0
전라남도,2024,2024년06월,1794967.0,-750.0
전라남도,2024,2024년07월,1793747.0,-1220.0
전라남도,2024,2024년08월,1792390.0,-1357.0
전라남도,2024,2024년09월,1791496.0,-894.0
전라남도,2024,2024년10월,1790421.0,-1075.0
전라남도,2024,2024년11월,1789610.0,-811.0
전라남도,2024,2024년12월,1788819.0,-791.0
경상북도,2023,2023년01월,2597527.0,-2965.0
경상북도,2023,2023년02월,2594399.0,-3128.0
경상북도,2023,2023년03월,2593210.0,-1189.0
경상북도,2023,2023년04월,2592205.0,-1005.0
경상북도,2023,2023년05월,2590726.0,-1479.0
경상북도,2023,2023년06월,2588860.0,-1866.0
경상북도,2023,2023년07월,2564065.0,-1609.0
경상북도,2023,2023년08월,2561623.0,-2442.0
경상북도,2023,2023년09월,2559924.0,-1699.0
경상북도,2023,2023년10월,2558085.0,-1839.0
경상북도,2023,2023년11월,2556262.0,-1823.0
경상북도,2023,2023년12월,2554324.0,-1938.0
경상북도,2024,2024년01월,2551370.0,-2954.0
경상북도,2024,2024년02월,2548440.0,-2930.0
경상북도,2024,2024년03월,2546960.0,-1480.0
경상북도,2024,2024년04월,2546120.0,-840.0
경상북도,2024,2024년05월,2545421.0,-699.0
경상북도,2024,2024년06월,2544174.0,-1247.0
경상북도,2024,2024년07월,2542072.0,-2102.0
경상북도,2024,2024년08월,2540046.0,-2026.0
경상북도,2024,2024년09월,2537955.0,-2091.0
경상북도,2024,2024년10월,2535971.0,-1984.0
경상북도,2024,2024년11월,2533979.0,-1992.0
경상북도,2024,2024년12월,2531384.0,-2595.0
경상남도,2023,2023년01월,3277672.0,-2821.0
경상남도,2023,2023년02월,3272381.0,-5291.0
경상남도,2023,2023년03월,3269228.0,-3153.0
경상남도,2023,2023년04월,3267369.0,-1859.0
경상남도,2023,2023년05월,3265018.0,-2351.0
경상남도,2023,2023년06월,3263251.0,-1767.0
경상남도,2023,2023년07월,3261361.0,-1890.0
경상남도,2023,2023년08월,3258309.0,-3052.0
경상남도,2023,2023년09월,3257009.0,-1300.0
경상남도,2023,2023년10월,3255239.0,-1770.0
경상남도,2023,2023년11월,3253619.0,-1620.0
경상남도,2023,2023년12월,3251158.0,-2461.0
경상남도,2024,2024년01월,3248703.0,-2455.0
경상남도,2024,2024년02월,3244232.0,-4471.0
경상남도,2024,2024년03월,3241374.0,-2858.0
경상남도,2024,2024년04월,3239224.0,-2150.0
경상남도,2024,2024년05월,3237140.0,-2084.0
경상남도,2024,2024년06월,3236224.0,-916.0
경상남도,2024,2024년07월,3235125.0,-1099.0
경상남도,2024,2024년08월,3233629.0,-1496.0
경상남도,2024,2024년09월,3232297.0,-1332.0
경상남도,2024,2024년10월,3231132.0,-1165.0
경상남도,2024,2024년11월,3230071.0,-1061.0
경상남도,2024,2024년12월,3228380.0,-1691.0
제주특별자치도,2023,2023년01월,677493.0,-666.0
제주특별자치도,2023,2023년02월,677090.0,-403.0
제주특별자치도,2023,2023년03월,677031.0,-59.0
제주특별자치도,2023,2023년04월,677115.0,84.0
제주특별자치도,2023,2023년05월,677057.0,-58.0
제주특별자치도,2023,2023년06월,676832.0,-225.0
제주특별자치도,2023,2023년07월,676810.0,-22.0
제주특별자치도,2023,2023년08월,676489.0,-321.0
제주특별자치도,2023,2023년09월,676317.0,-172.0
제주특별자치도,2023,2023년10월,676119.0,-198.0
제주특별자치도,2023,2023년11월,675845.0,-274.0
제주특별자치도,2023,2023년12월,675252.0,-593.0
제주특별자치도,2024,2024년01월,674353.0,-899.0
제주특별자치도,2024,2024년02월,673665.0,-688.0
제주특별자치도,2024,2024년03월,673103.0,-562.0
제주특별자치도,2024,2024년04월,672775.0,-328.0
제주특별자치도,2024,2024년05월,672563.0,-212.0
제주특별자치도,2024,2024년06월,672252.0,-311.0
제주특별자치도,2024,2024년07월,672068.0,-184.0
제주특별자치도,2024,2024년08월,671540.0,-528.0
제주특별자치도,2024,2024년09월,671064.0,-476.0
제주특별자치도,2024,2024년10월,670837.0,-227.0
제주특별자치도,2024,2024년11월,670632.0,-205.0
제주특별자치도,2024,2024년12월,670368.0,-264.0
